corps,titre,avis
Le produit est conforme à la photo mais j'ai trouvé les produits plus petits. Cela aurait été bien d'indiquer la taille.,Un peu petit,positif
"Très beau bracelet et taille correcte. Par contre, au bout de 5 minutes portés au poignet, l'attache a cassé. Dommage !",L'attache ne tient pas,négatif
"Merci, Colis bien reçu a la date qui était prévue, et en très bon état et conforme a l'image, merci et bonne continuation .",Audrey,positif
La qualité n'y est pas - juste collé sur un morceau de feutre - bof ! en plus beaucoup plus clinquant que le modèle présenté je ne le porterai pas,collier bleu,négatif
Très beau produit. Conforme à la description.,Bracelet,positif
ces boucles sont très belles en couleur dimension seul bémol elles sont un peu difficiles à enfiler sur les oreilles il faut juste prendre le coup de main,très bien,positif
"bas de gamme ,livraison en retard et pas de suivi ,pas cher mais on sais pourquoi,je ne conseil pas ce produit",boff pacotille,négatif
Produit jamais reçu.,Produit jamais reçu.,négatif
Tres bonne surprises dans ce calendrier. Malheureusement arrivé avec quelques jours de retard.,Super calendrier de l’avent,positif
J'ai acheté ce collier pour mon épouse elle est ravie. La présentation dans le coffret est du plus bel effet et le cristal en forme de cœur est magnifique. Le collier par lui-même est de très bonne manufacture et l'attache est très sérieuse. La petite chainette qui pend (photo 4) rend le bijou encore plus beau. Le métal entourant le cristal est de très bonne manufacture aussi. Je vous recommande vraiment ce collier +++,Très beau collier en forme de coeur...,positif
ne correspond absolument pas à la photo. Elle sont minuscules pratiquement inexistantes sur le lobe d'oreille et la couleur n'apparait que sous certains angles de lumière éclairée. Autant dire que j'ai l'impression d'avoir des petits bouts de verre en boucle d'oreille. je suis surprise sur les 5 étoiles !! a moins d'avoir des problèmes de vue !,tromperie sur le produit photo retouchée et agrandit,négatif
Pendentif super beau seul bémol c est la chaine qui accroche beaucoup les cheveux..pas très agréable..,Tres joli,positif
"Dans le lot de 3 bracelets, celui en cuir avec fermeture aimantée est très dur, trop grand pour une femme et trop petit pour un homme, dommage, car il est joli. Les deux autres bracelets vendus ensemble sont bien. Ils auraient été mieux avec des pierres brillantes.",Lot de 3 Bracelets dont 1 en cuir,positif
"Le collier semble solide, la chaine est assez grande, je l'ai acheté pour offrir et il a fait très plaisir !! Je recommande :)",Vraiment très sympa et pas cher,positif
Je crois que la personne n'a pas aimé trop petites et fragiles...,cadeau,négatif
Aucune n'a pas répondu a mes attentes,Bof,négatif
Beau bracelet avec son attache super. Belle boîte et le prix est parfait,Son attache,positif
Je suis très contente de mon bracelet Pierre très belle avec des reflets bleu Magnifique pierre et solide Merci à vous,Pierre,positif
je recommande a toutes mes amies aussi pour le ponctualité de la livraison pour lesquelles vous faite preuve encore grand merci a vous,magnifique je l'adore,positif
PETITES BOUCLES SUPER MIGNONNES! NE PROVOQUENT PAS D'ALLERGIE EN CE QUI ME CONCERNE. JE RECOMMANDE LE PRODUIT ET LE VENDEUR.,bel effet,positif
"Base qualité, bague fragile et se case facilement des fois sans rien faire mais fait son effet livraison rapide",Sympa,négatif
"Je l'ai acheté parce qu'il disait qu'il était large, au début il m'allait (dernier trou) mais j'ai un peu grossi, et du coup mes poignets aussi, donc plus possible de le mettre!!! Le faire plus long serait une bonne idée!!!",soit disant large!!!,négatif
Fais son petit effet. Vraiment très satisfaite. Mais il ne faut pas avoir un poignet fort. Je recommande vraiment .,Joli,positif
Magnifiques boucles très classes et conformes à la photo,Top,positif
à voir à l'usure....,Correct.,positif
Comme sur la photo Très jolies boucles d oreilles,Très jolies,positif
Très bonne relation qualité prix. Ce n'est pas la première fois que nous commandons des articles sans jamais avoir été déçus.,Bravo Amazone,positif
Parfait question rapport qualité prix je ne m'attendais pas à aussi bien,Très belle parure,positif
"Contente de la qualité au vue du prix, le métal est bien lissé donc ca n'accroche pas la peau. Les finitions sont bien, pas de défauts. Belle achat !",Joli manchette,positif
"dommage ; il semblerait que toute ma commande ait été égarée , je ne l ai jamais reçu; je suis déçue",bracelet,négatif
Très joli pour enfant. Mais pour un enfant d'environ 7 ans et plus trop petit pour le poigner et on ne peut pas le serrer plus mais sinon très joli bracelet.,Très joli,positif
Bonjour il est noté colis livré alors que je n'ai pas mon reçu mon colis. Je ne sais pas comment le récupérer. Merci pour votre reponse,Colis non reçu dans la boîte aux lettres.,négatif
Jolies boucles. Cependant bcp trop difficile à enfiler...,Trop difficile à mettre,négatif
Trop gros pour le septum,Livré rapidement,négatif
J'ai offert ce collier pour la fête des mères.. J'ai vraiment aimée la symbolique de l'amour d'une mère pour son enfant..Ma mère étant en deuil d'une de ses filles 1 mois avant.. Elle l'a adorée..mais voilà..je me suis aperçue qu'elle ne le porter plus...il s'est dégradé très vite...La qualité m'a donc vraiment déçu.. C'est dommage,Jolie..mais éphémère..,négatif
attention la fixation n'a aucune solidité donc est très fragile et votre collier peut s'ouvrir facilement et perdre ce qu'il contient,désolé pas de bonne qualité,négatif
Pourquoi seulement 2 étoiles : parce que la boîte est arrivée le couvercle enfoncé. J’ai réussi à fignoler mais je suis déçue. J’utilise ces boîtes pour ranger mes boucles d’oreilles. J’aime le produit puisque c’est la 7eme boîtes que j’achète et la première qui n’est pas intacte. Je sais que c’est peut-être dû au peu de soin pendant le transport mais voilà. Je ne renvoie pas le produit parce que la réception met trois à quatre semaines alors j’opte pour le garder. Dommage.,Très pratique !,négatif
"Je l’ai trouvé un peu petit j’aurai préféré qu’il soit un peu plus lache autour du poignet, mais joli tout de même",Bof,négatif
"Très bel effet, classe, mais maintenant que ça fait un an que je le porte occasionnellement, je peux dire que la placage or rose est complètement parti! On en a juste pour son argent.",Joli mais ne tient pas dans le temps.,négatif
"Le bracelet est très beau et a une bonne taille, même si un tout petit peu large, pour mon fils de 12 ans. Cependant, après seulement une semaine, un des rivets est parti et ne tient plus en place. Du coup, il est devenu inutilisable.",Beau mais...,négatif
Les elastique sont 6x trop grand,Cool mais...,positif
Alors vraiment trop beau j'ai accroché déjà quand je l'ai vu sur le site il est réceptif de suite du moins avec moi franchement au top de chez top à recommander,Au top est trop beau,positif
"Si le design est vraiment très agréable, la qualité n'est pas au rendez-vous... Je l'ai reçu et ai tout de suite voulu l'essayer... Le fermoir a explosé dès la prise en main. Je le répare en utilisant le fermoir d'un autre collier... Je le porte toute la journée; et le soir venu...la chaine casse faisant chuter tous les éléments au sol, un par un, en pleine réunion!!!! Quel dommage, il est tellement stylé!",Qualité un peu faible,négatif
bonjour je suis très contente des cette commande auprès de chez vous livraison rapide est bien emballer un grand merci,a rien de speciale,positif
bon cadeau pour maman!!! en 92% argent. et très joli avec SWAROVSKI.,Boucles d'Oreilles,positif
"Boucles d'oreilles raffinée mais trop petites, je les ai renvoyées....",Jolies boucles,négatif
Moches je ne les porterai pas,A eviter,négatif
Le collier est arrivé avec le papillon à paillette du collier décollé. Très déçue de la qualité du produit.,Déçue,négatif
"c'est vraiment dommage que les fermoirs de ces boucles d'oreilles ne sont pas du tout solides. Au bout de 2 fois l'un des deux fermoirs ne tenait déjà plus, ce qui fait que j'ai perdu la boucle d'oreille. Dommage, car ces boucles rendaient un bel effet.",Boucles D'Oreilles Pour Femmes Acrylique,négatif
"le fil s'est rompu très vite; impossible de renfiler les perles dans l'ordre initial, décevant Mana",solidité du fil,négatif
"Perle en plastique annoncée bois ,il n'y a pas la plus gros perle ! trois tours trop grand ,quatre tours trop petit franchement déçue",Non conforme a l'annonce,négatif
Pas contente de cet achat . Une boucle est arrivée elle ne fermé pas bien et la deuxième fois elle ne fermé pas du tout Je ne conseille pas cet achat . Le contrôle n a pas était fait par le vendeur avant le départ .,Je déconseille cet achat .,négatif
J'ai déjà offert plusieurs charms PANDORA mais j'ai un doute. Est-ce vraiment cette marque ou une copie,Vrai PANDORA ? ?,négatif
Une belle arnaque. Pas de qualité et ne rentre pas dans le bracelet pandora,Ne rentre pas dans le bracelet Pandora . Arnaque,négatif
Cette broche est minuscule et la fermeture ne fonctionne pas du tout à tel point que je l'ai perdue le premier jour.,De la camelote,négatif
J'ai reçu hier les 2 stoppeurs. Ils sont chacun dans un petit sachet plastique et le tout est dans une petite pochette en tissu type peau de pêche avec une petite lingette dans la même matière pour l'entretien des bijoux. Agréablement surprise vu le prix. Très beau rendu. J'ai du un peu forcer en tournant les stoppeurs pour les faire passer à l'entrée du Jonc mais après c'est parfait!,Parfait pour mon jonc Pandora,positif
Superbe Pierre montée en collier. Je suis ravie.,Sublime,positif
"Très bon produit, merci beaucoup pour votre rapidité.",Excellent bijou,positif
Bracelet de couleur un peu plus bleu que sur la photo mais de toute façon les pierres sont toutes différentes donc contente quand même,Très bien,positif
"Coffret à bijoux conforme au descriptif, assez profond et compacte pour ranger les bijoux, petits bémols pour l'odeur et le couvercle qui se referme à tous moments mais vu le prix, rien à redire",SATISFAITE,positif
"Je m'attendais à une taille un petit plus grande, il est assez minuscule, je suis un peu déçue et surtout ma fille car c’était un cadeau pour elle",Petit,négatif
Reçue avec plein de coups à l'avant de la boîte et la fermeture ne ferme pas l'avant tombe tout le temps et ne tiens pas,Article défectueux,négatif
Ces boucles sont portées par une cantatrice lors de ses concerts. Elles sont du plus bel effet. Elle ne les trouve pas trop lourdes le temps d'un concert et n'est pas génée par leur longueur. Elle est ravie de ce cadeau qui peut se porter lors de réveillons également. Non conseillées pour porter au quotidien.,boucles extra-longues pour concerts ...,positif
Très jolie et conforme au descriptif. L'envoi est long du coup on oublie la commande et on est tout content de le trouver dans sa boîte au lettre...,Tres bien,positif
"Jolie bague, un peu petite et dommage qu’on ne voit pas beaucoup le zirconium!",Belle bague,positif
"Le bracelet correspondait aux commentaires, cependant il a cassé en même pas une semaine... Un achat complètement inutile donc",Bracelet très fragile,négatif
le cordon élastique qui permet de tenir les perles s'est cassé a 2 reprises. Résultat : destination poubelle,Très mauvaise qualité,négatif
l'article n'a pas été livré 31 jours après la commande!!!arnaque!je ne ferai plus d'achat sur ce site!méfiance à l'avenir!Amazone devrait sanctionner ce vendeur,"commande passée le 5 décembre,on est le 6 janvier,colis pas reçu!!belle arnaque!",négatif
Très bon produit et très rapide . Merci,Efficace,positif
"Le diamant est très grand au bout. Autre mauvais point lorsque l'on coupe un bout en haut pour raccourcir le piercing, la boule ne tient plus du tout. Très déçu!",Très déçu,négatif
"le produit est tout à fait conforme à mes attentes, pas cher et de bonne qualité. Seul bémol le délai de livraison non respecté et surtout non expliqué malgré mes relances e-mail. Et puis un matin, 36 jours après la commande, le colis est arrivé ! sans commentaire!!!!",poussoirs embouts plastiques pour boucles d'oreilles à tiges,positif
"Le bracelet est conforme à la description, il est très beau et les perles sont de très bonne qualité. Je le recommande fortement.",Conforme au produit proposé,positif
Qualité médiocre elle est déjà bonne a mettre a la poubelle qu'alors je ne les porté uniquement deux fois .,Qualite médiocre,négatif
la fermeture ne tiens pas et le bracelet tombe je l'ai perdu déjà deux ou trois fois depuis hier c'est dommage car le bracelet est joli,fermeture,négatif
Bien mais pas je n'ai pas encore testé si l'acier est bien inoxydable... sinon le produit est conforme à l'image.,Bien,positif
Sa ne correspond en rien à mes attentes d ailleurs faites bien attention car les bagues ne sont pas fermer au niveau du doigt intérieur très dessus-de- cette article !!!!!,Nulllll !!!,négatif
Produit simpa mais se détache très souvent donc facile à perdre dommage,Dessus,négatif
Nickel aucun soucis jusqu’à mtn extensible livraison rapide pas chère,Produit conforme et très beau,positif
"et de bonne qualité, simples mais qui font leur effet",efficace,positif
Mon bracelet s'ouvre tout le temps,Revoir le fermoir,négatif
Parure acheté pour l'anniversaire de ma fille. Je l'ai reçu avant la date annoncée. Dommage qu'il ne soit pas présenté dans un écrin. À voir dans le temps s'il ne s'altere pas,Parure livrée avant la date annoncée,positif
"Tres beau, collier de qualité bon prix. Ma femme adore ce beau cadeaux.",superbe,positif
Conforme au modèle. Le porte pas assez souvent pour voir les effets qu'il doit faire.,Perle fine donne un bel effet.,positif
"Magnifique bracelet, très bonne idée de cadeau, rapport qualité / prix, top",Tres beau bracelet,positif
Très joli bijoux qui peut se porter avec tout attache très fiable livraison dans les délais et rapide rien a redire,bracelet,positif
Tout sauf de vrai pierre comme expliquer dans les détaille lors de l'achat se ne sont que de simple bille de verre avec une attache Détaillé modifier se que jai pu remarquer,Honteux,négatif
J'aurai bien aimé tester ces boucles d'oreilles mais je les ai payés et jamais reçu contrairement à ce qu'il y est marqué je n'ai jamais était livré donc un peu déçu car j'etais contente de cet achat :(,Déçu du service car jamais livré,négatif
Je suis vraiment enchantée par ces boucles d'oreilles. Elles correspondent parfaitement à l'offre. Elles ne sont absolument pas trop lourdes comme on aurait pu le craindre. Belle qualité.,Superbes!,positif
"Très joli bracelet. On dirait vraiment de l'or vieilli. J'ai enlevé une étoile car l'outil fourni pour enlever les maillons n'est pas du tout solide et a cassé tout de suite. En ce qui concerne les effets des aimants, on verra à l'utilisation mais en attendant, j'ai un très joli bracelet ;)",Bon rapport qualité prix,positif
Les nombreuses douleurs dues à mon âge avancé semble vouloir reculer,BON PRODUIT,positif
"Ce bracelet est vraiment jolie mais il se casse en deux secondes, je le conseille pas pour cadeau.",Il se casse vite,négatif
C est de la bricole!!!,Aucune qualité !!!,négatif
Les pierres sont vite tombées,Beau mais pas solide,négatif
attention à la machine pour enlever les maillons !! a mon avis ce sera difficile ! car pas très efficace,bien,positif
"Très jolie chaîne, s'accordé parfaitement à mes différent pendantif, excellent.","Une très belle chaîne, féminine.",positif
Très fragile se casse facilement,Très fragile,négatif
"Très belles boucles d'oreilles, ravie de mon achat",Boucles d'oreilles plumes,positif
Efficace pratique et fait bien ce pourquoi c’est fait,Bon,positif
Jolie reçu à la bonne date souple assez grand pour un gros bidon j'adore je vous conseille de commander 👍,Percing pour femme enceinte,positif
"J ai bien reçu le bracelet traditionnel tibétain,il est un peu petit ,et les liens dépassent de mon poignet,je ne vois pas défait de bonne apaisement et guérison.",C est qu il est arrivé sans défaillance !,positif
À voir sur la durée mais de prime abord je suis satisfaite de mon achat... Tout ça pour un prix abordable,Très bien...,positif
"Je suis très déçu de mon achat. Après aussi un mois et la couleur du produit commencent à changer. Je suis très déçu, comment résoudre ce problème?",Déçu,négatif
"Bof , il est plus joli en photo qu'en vrai. Il est gros et fait vraiment pas qualité. Je suis déçue",Bof pas qualité,négatif
J'adore. Exactement ce que j'attendais. Seul les fils une fois serrés peuvent gêner. Frottement sur bureau...,Trop beau et conforme à l'image,positif
Bracelet joli mais fragile 3 jours aprés une boucle de cassé,Fragile,négatif
"jolie parure, fait son effet, attention pour les gros poignets le bracelet est de taille standard, prévoir de rajouter quelques maillons supplémentaire",mignonne parure,positif
"Pendentif très joli, à la hauteur de mes attentes.",Beau cadeau,positif
C’e Un cadeau de saint Valentin il est un peu long et plus foncé que ce que je pensais mais très beau tout de même mon ami ne le quitte plus,Presque comme la photo,positif
Ce goujon est décoloré et contient un tissu noir.,Décoloration,négatif
"je porte ce bracelet tous les jours, je ne l'enlève jamais. il est très beau et de très bonne qualité. je suis enchanté. en plus je l'ai reçu très rapidement.",PARFAIT,positif
"décevants par rapport à la photo, trop petits, plutôt pour des ados que pour un adulte, je ne suis pas contente de cet achat.",minuscules par rapport à la photo sur le modèle qui les présente.,négatif
Très belle boucle mais le fermoir ne tient pas. Taille plus petite que ce que j’avais imaginé,Boucles d’oreilles,négatif
"très jolie bague, mais elle en a que le nom et la couleur turquoise, pas de pierre véritable merci de l'illusion.",toc,négatif
"Même si en période de Noël, les délais peuvent rallonger, indiquer que mon colis DEVRAIT ETRE ARRIVE sans que je sache où il se trouve c'est inadmissible. Pour moi, ce site n'est donc pas fiable. J'espère recevoir ma commande un jour...",COLIS NON RECU IMPOSSIBLE DE SAVOIR OU IL SE TROUVE,négatif
"Jamais reçu malgré un soit disant dépôt dans ma boite à lettres par COLIS PRIVE. Le vendeur se dédouane en disant qu'il faut voir avec AMAZON qu'il n'y a naturellement aucun moyen de contacter. COLIS PRIVE est aux abonnés absents. Je vais donc faire un dépôt de plainte mais auprès de qui? AMAZON qui n'a pas d'adresse en France? Le vendeur basé en Asie ? Et comme AMAZON ne réponds pas et demande simplement à être informé ce qui me fait une belle jambe ! Bref, client de longue date mais plus pour longtemps",Article jamais reçu,négatif
"En fait, je ne garde pas ce produit car j'ai mal compris le descriptif qui figurait sur le site. Je ne souhaitais pas des ""produits"" de bijouterie mais de vrais pitons pour placer dans des murs ! Donc, je vais renvoyer. Dommage.",Pas simple ...,négatif
"achetez la pour son apparence, pas pour ses effets",assez jolie,positif
dommage que la dimension ne soit pas précisée. je trouve qu'elle est un peu trop longue sur les 4 paires 2 sont arrivés cassés,bof,négatif
Je cherchais un bijou qui apporte de la variété et qui convient encore à l'alliance. Celui-ci est parfait! Je l'aime!,Match parfait,positif
Ma nièce de 17 ans était ravie de son bracelet. Assez grand pour les poignets fort. Un peu trop brillant à mon goût.,Très bien pour le prix,positif
Le prix va avec la qualité,Voilà,négatif
Commander pour le labret... Reçu très rapidement.. Pas encore essayer juste dessus quil y en et deux qui soit arriver casser,Piercing labret,positif
le bracelet ne tient pas attaché. Je ne peux donc pas le porter. Revoir le système d'attache. Déçu de cette commande,attache,négatif
Très pratique et stabilisé bien les petites casseroles,Efficacité,positif
pour le rapport qualité prix c'est bien. assez sympa mais perso je trouve les cristaux un peu petits.,bon achat mais !!!,positif
"Jolies mais fort petites. Plutôt pour les fillettes que pour les femmes. Je les garde quand-même car frais de retour : 6,50 euros",plutôt pour les fillettes,négatif
Encore plus joli vrai,Très bel article,positif
Superbe bijou rapport qualité prix belle qualité la bague sur le collier magnifique... Bel emballage dans un bel écrin. Beau cadeau à offrir ou se faire plaisir....,Magnifique,positif
"Les boucles d'oreilles sont très belles, elle sont arrivées avant la date prévu, elle sont solide et de bonne qualité!",Super!,positif
"superbe bracelet ,le noir idéal a la taille de mon poignet sinon oeil du tigre bien pour les poignet un peu plus fort",top,positif
"Je les trouvais parfaites mais j’ai un problème avec les fermoirs des le début , après les avoir mises 3 ou 4 fois il y en a une qui ne ferme plus .",Jolies mais chères et de mauvaise qualité,négatif
Ce système de serrage n’est pas esthétique car les deux lanières pendent de chaque côté une fois serré à moins que vous ayez un très gros poignet,Déçu du rendu,négatif
Article reçu abimé et renvoyé. Je vais devoir en recommander un autre. Les frais de livraison sont pour ma pomme!,Reçu en abimé,négatif
Le produit c’est casser en 2 jour les diamants ne sont plus sur le bijou je suis déçue !!!,Déçu,négatif
Bof peu pratique. Ne fais aucun bruit et la fermeture ne tient pas. La boule à l'intérieur tombe sans cesse. Très déçu,Bola de grossesse,négatif
Bonne qualité pour le prix,Chaîne argent,positif
Pas d'efficacité vraiment avérée.....un peu déçue au bout d'un mois !,Efficacité à prouver...,négatif
C'est un très beau bracelet. c'est une bonne qualité,Bonne qualité,positif
Jolies boucles d'oreilles mais un peu grosse pour mon oreille. Elles brillent bien ; à voir à long terme.,Jolies boucles,positif
"Piercing Jolie mais tige beaucoup trop dur, ne se pli pas facilement. Déçu",Déçu,négatif
Elle sont vite devenu verte à l’oreille.,Attention,négatif
c'est une très jolie chouette,tres jolie chouette,positif
"Très beau collier. Agréable à porter car léger. Original. Idéal pour un cadeau, je recommande !",Beau bijou,positif
C'est petit piercing Son Excellence il brille beaucoup à la lumière du jour et son facilement adaptable en longueur par une simple coupe avec paire de ciseaux. Je recommande et en recommanderais,Piercing,positif
Ces boucles d'oreilles sont vendu dans un écrin ça donne tout de suite son charme des perles sur du noir je recommande ces boucles pour ce prix et très bonne qualité ça va faire un Mois que je les porte.,Jolies boucles d'oreilles.,positif
"Vraiment au top, solide, et joli",Solide et beau,positif
"qui m'est reçu le bracelet à la date comme convenu, j'ai malheureusement pu un petit sursis concernant le fermoir, qui normalement aimantes pour moi malheureusement ça ne fonctionnait pas. Petit détail qui pour moi peut arriver à n'importe à n'importe quel entreprise artisans ou de société, sinon le bracelet est sympa la qualité est bien présente, mais la malheureusement je viens de faire un retour avec le SAV. Mais je me suis empressé d'en recommander un autre malheureusement sera pas tout à fait le même vous en aviez pu en stock, mais c'est pas grave j'ai reçu ce matin et il est impeccable je le recommande sans problème pour l'achat de ces bracelets surtout si vous voulez faire un petit cadeau s'est bien présenté dans une belle boîte.",qualité et présentation,positif
Je l'ai porté dès que je l'ai reçu. Belle regarder sur ma main. Très confortable à porter. Le vendeur m'envoie également des cordes élastiques et une perle supplémentaire. Très attentionné.,Très attentionné.,positif
"Je suis très satisfaite de la livraison, par contre le bracelet n'est pas à la hauteur de mes attentes, ce produit avait une remise de 74% j'ai cru faire une bonne affaire mais je pense que je me suis fait avoir, le bracelet en ""argent"" est très fin j'ai très peur de le manipuler pour ne pas le casser. De plus il est livré dans une boîte toute simple qui est plus petite que la taille du bracelet, donc obligé de croiser les boules pour le faire entrer dans cette boîte. J'ai acheté ce bracelet pour l'offrir à ma mère pour Noël. J'ai vraiment honte ! La qualité n'y est pas ni la présentation. Ce bracelet coûtait il réellement 90€ sans la remise ? J'ai vraiment un gros doute !",Gros doute sur la qualité de ce bracelet,négatif
"Qualité très moyenne... une soirée avec les bracelets, et le doré de la tête devient vite noire.... Ma peau est peut être pré destinée à ne recevoir que du « vrai »",Le doré ne tient pas,négatif
Très bien qualité prix,Très bonne idee,positif
Trousse fortnite achat pour mon fils fan de ce jeu Bonne qualité. Bonne capacité Je ne met pas 5 étoiles car la petite a des difficultés à rentrer dedans mais ça passe.. 2 compartiments qui permet de mettre pas mal de choses... Et petite poche devant Bon rapport qualité prix,Trousse sympa,positif
article de bonne qualité rein a redire,rien a redire,positif
article dont le fermoir se detache tout seul apres seulement 2jours d'utilisation retourne le 7 avril par relais colis aujourd'hui 17 avril pas de nouvelles de ce retour je deconseil,fermoir mauvais,négatif
Super bonne qualité.,Bien.,positif
"Bonne qualité de gants. Pas déçue, une matière brillante, agréable à porter. Correspond à la photo de l'annonce. Livraison rapide",Bon produit conforme aux attentes,positif
La commande m'a été livrée rapidement. L'article reçu est bien conforme à la commande. Je n'ai pas eu de souci.,Rapide,positif
Je n'ai jamais reçus ma commande après contact avec le vendeur celui a renvoyé une chaîne que j'ai reçus cette fois en moins d'une semaine. Le vendeur est donc sérieux et la chaîne est de bonne qualité et très jolie Je recommande.,"Bon produit , Vendeur sérieux",positif
"J'en ai acheté trois à la fois, leurs performances sont bonnes. Je suis satisfait d'eux. Peut-être que je les achèterai pour la prochaine fois.",satisfait,positif
Alors très jolie boucles mais qui ne tiennent pas sur l'oreille. Dommage,Jolie mais...,négatif
Produit assez grossier,Bof,négatif
"Conforme à la photo, je suis très contente de mon achat. Après niveau qualité bof mais ça sera très bien pour cet été! A ce prix là ça vaut le coup.",Bien,positif
"Super et pas cher , je recommande pour d'autre utilisateurs..Envoi rapide , très satisfait des prestations d'Amazone.Je poursuivrai mes achats sur ce site.",Très jolies,positif
"Un collier que je porte tout les jours. Il est joli, quoi qu il manque un peu de couleurs à mon gout. J aurai préféré aussi qu il ne glisse pas sur la chaîne, mais qu il soit fixe. Sinon pour le prix, je ne regrette pas mon achat.",joli,positif
Jolies piercings. Cependant très déçue car des diamants été déjà partie et retrouver dans le petit sac.. ! Pas top ! Dommage sinon ils sont sympa. J'aimerais un geste commercial...,Jolies mais decevant,négatif
Bon rapport qualité/prix. Je recommande... Je les porte quotidiennement et rien à déclarer. Solide et discret pour la vie de tous les jours.,Bien !,positif
"Les bracelets sont jolis et de bonne qualité. Par contre sur les 3 rouges, était effiloché. Comment faire pour se faire renvoyer 1 collier rouge ??",Très bien mais....,positif
"Une boucle d'oreille s'est cassée. Sur les 5 paires, vu le prix, je dirai tant pis même si c'est dommage, c'était ma paire préférée.",Bon rapport qualité prix,positif
Très bon produit Très bon rapport qualité prix Très satisfaite de mon’ achat Je vous le recommande les yeux fermés,Boîte au montres,positif
Bracelet Très jolie à voir la solidité dans le temps. Il est plus or couleur or que or couleur rose,Jolie,positif
Conforme à l'annonce,Bon produit,positif
"reçu dans les délais, il vaut largement un bracelet de marque renommée, aussi beau avec un bon fermoir !on verra à l' usage mais je suis satisfaite !",joli bracelet,positif
Bracelet sympa mais il s'est cassé qq semaine après,Bof,négatif
Boucles d oreilles rouges cerises fantaisie très jolies pour l'été. Certes elles sont grosses mais elles sont originales . Excellent rapport qualité prix.,Boucles d oreilles fantaisie cerises,positif
Bel article mais fait un peu toc,Bijou pour enfant,positif
"Bcp trop fragile, casse a la moindre occasion juste en les enlevant des oreilles",Trop fragile,négatif
Un peu déçue par l'épaisseur des feuilles. J'attendais un bijou plus fin.,Feuilles épaisses,négatif
Je suis très déçu. D'un côté le cochon passe bien et de l'autre non... Pas une super qualité... Je te commanderais pas,Deçu,négatif
super achat. superbe différente couleur et conforme à ma photo. je les déjà conseiller a une amie.,parfait,positif
L'ensemble jolie mais minuscules de plus la montre ne fonctionne pas.pile usagé et compliqué à changé sois même..ma fille est très déçu de ne pa pouvoir la porté,Ne fonctionne pas,négatif
Quel dommage de recevoir ce Charm dans une pochette plastique... Le charm en soi n'est pas mal quoique quelques petits défauts. Suis vraiment décue....,Bof Bof,négatif
"j'ai acheter ce produit pour faire un cadeau, je n'ai rien a dire sur le produit je suis satisfait.",très bon emballage,positif
Ce collier n est pas en cuir. Une vulgaire gaine tresse en plastique. Je ne met qu'une étoile parce que la description est mensongère. Il n'a pas la souplesse du cuir . Même s'il est visuellement correct.,"Collier ""PAS"" en cuir",négatif
Joli bracelet fidèle à la photo. Je le porte presque quotidiennement.,J'adore,positif
Très bon produit ! Niveau longueur et qualité impeccable ! Le seul problème est que les noeuds ne sont pas solide. Il va falloir s'amuser à les refaire a chaque fois! Mais très bonne affaire en vente flash !,Tres bien mais...,positif
Produit conforme sauf que le souci je les avais commander en bleu et j'ai reçu des roses,Problème commande,positif
Colis jamais reçu je recommande pas du tout fait attention et j’ai pas eu de remboursement malgré que j’ai insisté c’est dommage !,Déçu,négatif
Porte clés de très bonne qualité... Le design est bien et le porte clés est lourd gage de bonne fabrication... Idéal pour garder ses clés avec style,Porte clés GOT,positif
"Quel dommage, les boucles sont sympas même si la qualité n'est pas extraordinaire mais les attaches ou fermoirs sont en plastique transparent et c'est vraiment pas joli, déçue.",Attention aux attaches,négatif
"Joli bracelet, fidèle à sa description. Toutefois pour ceux qui ont le poignet fin comme moi celui-ci est un peu grand. (Mais c'est pas dérangeant plus que ça). L'article à été livrer plus tôt que prévu et ça c'est très bien. Bonne qualité, contente de mon achat.",Un petit peu grand,positif
Les bracelets sont très jolie néanmoins les éléments en doré ainsi qu’en couleur argent se dégrade très très rapidement le doré deviens en effet rose,Se dégrade très rapidement,négatif
Arrivé avec beaucoup de retard...et de mauvaise qualitée...la chaîne a changée de couleurs après l avoir porté une fois,Bijoux de pacotille,négatif
"après seulement 2 semaines, le bracelet s'est cassé... l'élastique est de vraiment piteuse qualité et ne résiste pas. Je ne recommande pas!",très mauvaise qualité,négatif
Tres déçu il et degat casser au bout de 1 h,Manchette,négatif
Excellent rapport qualité prix...!,Super!,positif
"J'ai reçu le collier très rapidement, le lendemain de la commande . Le collier est un peu plus petit que sur la photo et peut-être un peu fin mais très léger original et joli je ne regrette pas mon achat.","Rapide,original, sympa",positif
Trop fine et par conséquent trop fragile elle a tenue 3 jrs. Dommage pour un cadeau anniversaire.....,Trop fine et fragile,négatif
Beaux bracelets avec une boîte parfaite pour faire un cadeau. A voir sur la durée pour la résistance des élastiques !,Satisfait ! Correspond à la description !!,positif
"Sur la photo très joli, mais quand on la dans la main plus pareil je ne recommande pas !!! a vous de choisir",ne corespond en rien a la description,négatif
"C'est exactement ce que je recherche. Je pense que son prix est très raisonnable. Cela n'a coûté qu'une fraction de ce que j'ai dépensé à la boutique locale. Après tout, c'est un bijou populaire.",Bon prix!,positif
"Colis reçu rapidement, bien emballé. La broche est comme sur la photo, la taille est bien. A voir pour la solidité...",belle broche,positif
